vesselUid,mmsi,imo,longitude,latitude,sog,cog,rot,heading,navStatus,posMsgType,posSrc,vesselName,callsign,flag,vesselTypeAis,vesselType,length,width,dwt,grt,destination,eta,draught,staticMsgType,staticSrc,posDt,staticDt,insertDt
335979,271002637,,29.02519330252308,41.0281981197592,0.0,13.6,-0.02,,99,18.0,TER,TAFRALI,TC8937,TR,60.0,PASSENGER,41,8,,,,,0.0,,,2022-02-23 02:47:41+00:00,2022-02-23T02:22:59Z,2022-02-23T02:50:22Z
336686,271010660,,29.04243187753289,41.08128027938263,0.0,358.6,-0.01,,99,18.0,ROAM,LATILLA,TCA2354,TR,37.0,PLEASURE CRAFT,35,7,,,,,0.0,,,2022-02-23 02:50:29+00:00,2022-02-23T02:08:08Z,2022-02-23T02:52:41Z
150324,215705000,9282821.0,28.99021579123061,41.543608077573246,1.68,158.0,-0.07,104.0,0,1.0,ROAM,HOPE A,9HUZ7,MT,84.0,LIQUID TANKER,176,31,40095.0,25364.0,TURKELI,2022-02-22T18:00:00Z,10.0,,,2022-02-23 02:58:23+00:00,2022-02-23T02:44:37Z,2022-02-23T02:58:30Z
268585,511100502,8912326.0,28.0596479744049,44.868553188240114,0.0,33.9,-0.03,2.0,5,3.0,TER,PRINCESS AYANA,T8A3657,PW,70.0,CARGO RO RO,100,21,7572.0,6902.0,RO AGI,2022-02-11T08:00:00Z,4.7,,,2022-02-23 03:02:37+00:00,2022-02-23T02:53:32Z,2022-02-23T03:03:46Z
6092780,992646156,,28.515136966007457,44.26154660796721,0.0,0.4,0.0,,98,,TER,UNDERWATER OBSTACL,,,128.0,ISOLATED DANGER,2,2,,,,,,,,2022-02-23 03:05:24+00:00,2022-02-23T02:07:25Z,2022-02-23T03:06:28Z
343686,272096700,,31.55969059109756,46.6321916420065,0.0,356.1,0.02,,99,,TER,KINBURN,,UA,33.0,DREDGER,48,9,,,,,,,,2022-02-23 03:05:57+00:00,2022-02-23T02:28:07Z,2022-02-23T03:08:22Z
336373,271010323,,28.965998021661985,41.01652689937181,0.0,250.2,-0.05,,99,18.0,ROAM,VENUS 1,TC9017,TR,60.0,PASSENGER,42,8,,,,,0.0,,,2022-02-23 03:13:58+00:00,2022-02-23T02:28:56Z,2022-02-23T03:14:22Z
339991,271043764,,29.018329640270203,40.98863356040499,0.0,353.5,-0.03,,99,18.0,TER,BAYRAK 2,TCA3071,TR,50.0,PILOT VESSEL,18,5,,,,,0.0,,,2022-02-23 03:14:18+00:00,2022-02-23T02:14:52Z,2022-02-23T03:15:25Z
756240,636016356,9146106.0,30.87715959934919,46.42738492076394,0.1,359.8,0.05,8.0,1,3.0,TER,COMET,A8UW2,LR,79.0,BULK CARRIER,113,19,10095.0,5997.0,ODESSA,2022-02-22T00:00:00Z,5.0,,,2022-02-23 03:17:21+00:00,2022-02-23T02:22:37Z,2022-02-23T03:20:07Z
348607,273356260,9247637.0,36.49035903137184,45.20663669090298,0.4,288.0,16.46,6.0,1,3.0,TER,SV.GEORGIY POBEDONOSETS,UBJI6,RU,70.0,GENERAL CARGO SHIP,128,17,5440.0,4974.0,RU YEY,2022-02-24T20:00:00Z,3.3,,,2022-02-23 03:20:38+00:00,2022-02-23T02:54:57Z,2022-02-23T03:22:05Z
5435721,273372620,,36.44479665019321,45.272489724979934,0.0,1.8,-0.02,,5,3.0,TER,SCHS GELATI,,RU,30.0,FISHING,25,6,,,,2022-01-01T00:00:00Z,2.0,,,2022-02-23 03:24:18+00:00,2022-02-23T03:04:00Z,2022-02-23T03:27:08Z
6720894,271048990,,29.088645965796733,41.08014171795968,0.0,347.5,-0.09,,99,18.0,TER,SINDOMA 2,YMB4735,TR,37.0,PLEASURE CRAFT,0,0,,,,,0.0,,,2022-02-23 03:30:21+00:00,2022-02-23T02:31:19Z,2022-02-23T03:31:18Z
5982577,273452690,9868792.0,36.8051537138235,45.4734765613494,0.1,4.6,0.05,10.0,1,3.0,TER,NAVIS 5,UAUX,RU,70.0,GENERAL CARGO SHIP,123,17,6319.0,4982.0,RU TMR,2022-02-07T20:00:00Z,3.2,,,2022-02-23 03:38:56+00:00,2022-02-23T03:09:41Z,2022-02-23T03:41:14Z
339770,271043395,8989549.0,29.43058104163442,40.73254299256708,8.59,353.2,0.01,,0,1.0,SAT,MURADIYE,TCVQ7,TR,60.0,PASSENGER SHIP,91,17,947.0,982.0,KIHISAR>TAVSANLI,,2.0,,,2022-02-23 03:39:17+00:00,2022-02-23T03:08:06Z,2022-02-23T03:39:57Z
214968,241322000,9270737.0,28.961508133128557,40.76105876685184,2.65,241.3,-0.02,297.0,0,3.0,TER,KRITI,SVBZ2,GR,80.0,LIQUID TANKER,180,32,47999.0,28799.0,ISTANBUL,2022-02-24T17:00:00Z,8.0,,,2022-02-23 03:46:03+00:00,2022-02-23T02:59:55Z,2022-02-23T03:47:27Z
6874159,271049404,,28.95387727561745,41.0395816420125,0.0,0.8,-0.01,,99,18.0,TER,SH SERCE,TCA6611,TR,60.0,PASSENGER,12,4,,,,,0.0,,,2022-02-23 03:49:07+00:00,2022-02-23T03:36:53Z,2022-02-23T03:51:04Z
757683,229978000,9330513.0,28.67133534113806,40.96897710237876,0.0,327.9,0.02,355.0,5,3.0,TER,SATIE,9HA3767,MT,71.0,CONTAINER,222,30,39359.0,28616.0,TRIST,2022-02-25T10:00:00Z,9.9,,,2022-02-23 03:53:28+00:00,2022-02-23T03:31:23Z,2022-02-23T03:54:01Z
475155,214182749,8600090.0,30.666089835279543,46.351693065813485,0.1,196.2,0.12,293.0,5,3.0,TER,RAPID,ER2749,MD,52.0,TUG AND TOWAGE VESSEL,39,11,375.0,545.0,CHERNOMORSK,2022-09-06T19:00:00Z,5.5,,,2022-02-23 03:56:10+00:00,2022-02-23T03:41:54Z,2022-02-23T03:57:05Z
343954,272134300,,30.736175828251493,46.49064198097128,0.0,1.1,0.01,,99,18.0,TER,BOHEMIA,,UA,60.0,PASSENGER,50,10,,,,,0.0,,,2022-02-23 04:12:02+00:00,2022-02-23T03:48:02Z,2022-02-23T04:13:18Z
284968,214182773,7392610.0,31.113430366174224,46.35337272399333,0.0,202.4,0.17,64.0,1,3.0,TER,MILLENNIAL SPIRIT,ER2773,MD,80.0,LIQUID TANKER,77,13,2091.0,1665.0,IN ORDER,2022-01-01T18:00:00Z,4.6,,,2022-02-23 04:13:37+00:00,2022-02-23T03:17:55Z,2022-02-23T04:15:20Z
4313353,271044544,,29.08036100395621,40.86888526669086,0.0,353.9,-0.06,,99,18.0,TER,MEIRUZ,TCA4170,TR,53.0,PORT TENDER,11,3,,,,,0.0,,,2022-02-23 04:14:03+00:00,2022-02-23T03:30:00Z,2022-02-23T04:16:43Z
6442187,273211390,9917983.0,38.46359992013805,46.99404566508862,0.0,187.5,-0.17,62.0,1,1.0,SAT,ALPHA MERCURY,UBCV4,RU,79.0,GENERAL CARGO,141,17,8144.0,6305.0,KAVKAZ,2022-02-14T19:00:00Z,3.0,,,2022-02-23 04:20:20+00:00,2022-02-23T03:44:30Z,2022-02-23T04:22:37Z
5769169,248680000,9754927.0,30.655598268363573,46.34598636892083,0.0,157.5,0.01,172.0,5,3.0,TER,ROJEN,9HA4756,MT,70.0,BULK CARRIER,185,31,41550.0,27781.0,UAILK,2022-02-21T09:00:00Z,6.5,,,2022-02-23 04:23:54+00:00,2022-02-23T03:31:02Z,2022-02-23T04:24:00Z
6968567,271049780,,29.046478759982207,41.06296330047415,0.1,355.8,0.03,,99,,ROAM,QUEEN 2,YMB542,TR,37.0,PLEASURE CRAFT,13,4,,,,,,,,2022-02-23 04:26:30+00:00,2022-02-23T04:19:58Z,2022-02-23T04:27:39Z
343314,272027300,,30.987807002898016,46.54225649167408,8.35,62.3,-0.13,,99,18.0,TER,CAPITAN BELUHA,,UA,50.0,PILOT VESSEL,23,6,,,,,0.0,,,2022-02-23 04:28:56+00:00,2022-02-23T04:04:26Z,2022-02-23T04:29:46Z
3941472,351727000,9522257.0,36.69931822733091,45.12733609929923,0.0,2.7,0.04,230.0,5,3.0,ROAM,GAS HONOUR,3FGO4,PA,83.0,LPG TANKER,120,20,10315.0,9160.0,TAMAN,2022-02-23T08:00:00Z,5.9,,,2022-02-23 04:34:13+00:00,2022-02-23T04:10:29Z,2022-02-23T04:36:06Z
466987,123456789,,36.62378863974056,45.369150252669016,0.0,357.3,0.07,270.0,99,1.0,TER,SINDHBAD II,3EBD3,,90.0,OTHER,30,11,,,GADANI,2021-10-12T12:00:00Z,9.0,,,2022-02-23 04:37:14+00:00,2022-02-23T03:48:42Z,2022-02-23T04:37:23Z
3721417,992711401,,28.70254579491966,40.98235385422856,0.0,358.4,-0.1,,98,,TER,TP GAS PLATFORM,,,100.0,NAVIGATION AID,182,67,,,,,,,,2022-02-23 04:46:49+00:00,2022-02-23T04:16:07Z,2022-02-23T04:48:07Z
4620331,249710000,9788095.0,38.181538448707904,46.76246960853184,0.0,158.0,-0.11,47.0,1,3.0,SAT,KIOWA,9HA4345,MT,79.0,GENERAL CARGO SHIP,141,17,7911.0,6364.0,RU YEY>FR SET,2022-03-09T12:00:00Z,4.3,,,2022-02-23 04:51:31+00:00,2022-02-23T04:06:21Z,2022-02-23T04:54:27Z
188882,271044036,8500082.0,29.19098528856,40.87949400795211,0.0,18.8,0.08,290.0,8,1.0,TER,SARE IMAMOGLU,TCA3381,TR,79.0,GENERAL CARGO SHIP,88,12,4594.0,2564.0,TRERE,2022-02-25T20:00:00Z,3.0,,,2022-02-23 04:53:38+00:00,2022-02-23T04:43:09Z,2022-02-23T04:54:34Z
